phase,flux_fitted
-0.021517528438294634,1.0
-0.02147725588452829,1.0
-0.021436983412150074,1.0
-0.02139671085838373,1.0
-0.021356438386005514,1.0
-0.02131616583223917,1.0
-0.021275893359860954,1.0
-0.02123562080609461,1.0
-0.02119534825232827,1.0
-0.021155075779950055,1.0
-0.021114803226183712,1.0
-0.021074530753805495,1.0
-0.021034258200039152,1.0
-0.020993985727660935,1.0
-0.020953713173894592,1.0
-0.02091344062012825,1.0
-0.020873168147750032,1.0
-0.02083289559398369,1.0
-0.020792623121605472,1.0
-0.02075235056783913,1.0
-0.020712078095460912,1.0
-0.02067180554169457,1.0
-0.020631532987928226,1.0
-0.02059126051555001,1.0
-0.020550987961783666,1.0
-0.02051071548940545,1.0
-0.020470442935639106,1.0
-0.02043017046326089,1.0
-0.020389897909494546,1.0
-0.02034962543711633,1.0
-0.020309352883349986,1.0
-0.020269080329583643,1.0
-0.020228807857205426,1.0
-0.020188535303439083,1.0
-0.020148262831060866,1.0
-0.020107990277294523,1.0
-0.020067717804916306,1.0
-0.020027445251149963,1.0
-0.01998717269738362,1.0
-0.019946900225005403,1.0
-0.01990662767123906,1.0
-0.019866355198860843,1.0
-0.0198260826450945,1.0
-0.019785810172716283,1.0
-0.01974553761894994,1.0
-0.019705265065183598,1.0
-0.01966499259280538,1.0
-0.019624720039039038,1.0
-0.01958444756666082,1.0
-0.019544175012894478,1.0
-0.019503902540516264,1.0
-0.019463629986749918,1.0
-0.019423357432983575,1.0
-0.01938308496060536,1.0
-0.019342812406839018,1.0
-0.0193025399344608,1.0
-0.019262267380694458,1.0
-0.01922199490831624,1.0
-0.019181722354549898,1.0
-0.019141449800783555,1.0
-0.019101177328405338,1.0
-0.019060904774638995,1.0
-0.019020632302260778,1.0
-0.018980359748494435,1.0
-0.018940087276116218,1.0
-0.018899814722349875,1.0
-0.018859542168583533,1.0
-0.018819269696205315,1.0
-0.018778997142438972,1.0
-0.018738724670060755,1.0
-0.018698452116294412,1.0
-0.018658179643916195,1.0
-0.018617907090149852,1.0
-0.01857763453638351,1.0
-0.018537362064005292,1.0
-0.01849708951023895,1.0
-0.018456817037860732,1.0
-0.01841654448409439,1.0
-0.018376272011716172,1.0
-0.01833599945794983,1.0
-0.018295726985571612,1.0
-0.01825545443180527,1.0
-0.018215181878038927,1.0
-0.01817490940566071,1.0
-0.018134636851894367,1.0
-0.01809436437951615,1.0
-0.018054091825749807,1.0
-0.01801381935337159,1.0
-0.017973546799605247,1.0
-0.017933274245838904,1.0
-0.017893001773460687,1.0
-0.017852729219694344,1.0
-0.017812456747316126,1.0
-0.017772184193549784,1.0
-0.01773191172117157,1.0
-0.017691639167405224,1.0
-0.01765136661363888,1.0
-0.017611094141260667,1.0
