phase,flux_fitted
-0.017332567534580096,1.0
-0.01729226242556346,1.0
-0.01725195731654682,1.0
-0.01721165220753018,1.0
-0.01717134717990167,1.0
-0.01713104207088503,1.0
-0.017090736961868393,1.0
-0.017050431852851752,1.0
-0.017010126743835115,1.0
-0.016969821634818475,1.0
-0.016929516525801838,1.0
-0.016889211498173327,1.0
-0.016848906389156686,1.0
-0.01680860128014005,1.0
-0.01676829617112341,1.0
-0.016727991062106772,1.0
-0.016687685953090132,1.0
-0.016647380844073495,1.0
-0.016607075735056855,1.0
-0.016566770707428343,1.0
-0.016526465598411706,1.0
-0.016486160489395066,1.0
-0.01644585538037843,1.0
-0.01640555027136179,1.0
-0.01636524516234515,1.0
-0.01632494005332851,1.0
-0.0162846350257,1.0
-0.016244329916683363,1.0
-0.016204024807666723,1.0
-0.016163719698650086,1.0
-0.016123414589633445,1.0
-0.01608310948061681,1.0
-0.016042804371600168,1.0
-0.016002499343971657,1.0
-0.01596219423495502,1.0
-0.01592188912593838,1.0
-0.015881584016921742,1.0
-0.015841278907905102,1.0
-0.015800973798888465,1.0
-0.015760668689871825,1.0
-0.015720363662243313,1.0
-0.015680058553226676,1.0
-0.015639753444210036,1.0
-0.0155994483351934,1.0
-0.01555914322617676,1.0
-0.015518838117160122,1.0
-0.015478533008143483,1.0
-0.015438227899126845,1.0
-0.015397922871498331,1.0
-0.015357617762481693,1.0
-0.015317312653465056,1.0
-0.015277007544448417,1.0
-0.015236702435431779,1.0
-0.01519639732641514,1.0
-0.015156092217398501,1.0
-0.015115787189769988,1.0
-0.01507548208075335,1.0
-0.015035176971736713,1.0
-0.014994871862720074,1.0
-0.014954566753703435,1.0
-0.014914261644686797,1.0
-0.014873956535670158,1.0
-0.014833651508041645,1.0
-0.014793346399025006,1.0
-0.01475304129000837,1.0
-0.01471273618099173,1.0
-0.014672431071975092,1.0
-0.014632125962958454,1.0
-0.014591820853941815,1.0
-0.014551515826313302,1.0
-0.014511210717296663,1.0
-0.014470905608280026,1.0
-0.014430600499263388,1.0
-0.014390295390246749,1.0
-0.01434999028123011,1.0
-0.014309685172213472,1.0
-0.014269380063196833,1.0
-0.01422907503556832,1.0
-0.014188769926551683,1.0
-0.014148464817535044,1.0
-0.014108159708518406,1.0
-0.014067854599501767,1.0
-0.014027549490485128,1.0
-0.01398724438146849,1.0
-0.013946939353839977,1.0
-0.01390663424482334,1.0
-0.013866329135806701,1.0
-0.013826024026790062,1.0
-0.013785718917773424,1.0
-0.013745413808756785,1.0
-0.013705108699740147,1.0
-0.013664803672111633,1.0
-0.013624498563094996,1.0
-0.013584193454078358,1.0
-0.01354388834506172,1.0
-0.01350358323604508,1.0
-0.013463278127028442,1.0
-0.013422973018011803,1.0
-0.01338266799038329,1.0
-0.013342362881366653,1.0
-0.013302057772350015,1.0
-0.013261752663333376,1.0
-0.013221447554316737,1.0
-0.013181142445300099,1.0
-0.01314083733628346,1.0
-0.013100532308654947,1.0
-0.01306022719963831,1.0
-0.013019922090621671,1.0
-0.012979616981605033,1.0
-0.012939311872588394,1.0
-0.012899006763571755,1.0
-0.012858701654555117,1.0
-0.012818396545538478,1.0
-0.012778091517909965,1.0
-0.012737786408893328,1.0
-0.01269748129987669,1.0
-0.012657176190860051,1.0
-0.012616871081843412,1.0
-0.012576565972826774,1.0
-0.012536260863810135,1.0
-0.012495955836181622,1.0
-0.012455650727164985,1.0
-0.012415345618148346,1.0
-0.012375040509131708,1.0
-0.012334735400115069,1.0
-0.01229443029109843,1.0
-0.012254125182081792,1.0
-0.012213820154453279,1.0
-0.012173515045436642,1.0
-0.012133209936420003,1.0
-0.012092904827403364,1.0
-0.012052599718386726,1.0
