# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float32}
# - {name: lcerr, datatype: float32}
# - {name: polynomial, datatype: float64}
# - {name: ypos, datatype: float64}
# - {name: ywidth, datatype: float64}
# - {name: astrophysical model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr polynomial ypos ywidth "astrophysical model" model residuals
2460776.6304388633 0.075 0.0 1.0034261 0.001278872 1.0034816328076357 1.0 1.0 1.0 1.0034816328076357 -5.55578259462397e-05
2460776.6318277316 0.075 0.0 1.0044118 0.0012788341 1.0034810399044434 1.0 1.0 1.0 1.0034810399044434 0.0009307766925414906
2460776.6332166 0.075 0.0 1.0036001 0.0012790529 1.003480447001251 1.0 1.0 1.0 1.003480447001251 0.00011967354318254131
2460776.634605468 0.075 0.0 1.0033381 0.0012780931 1.0034798540982577 1.0 1.0 1.0 1.0034798540982577 -0.00014175557225670765
2460776.635994336 0.075 0.0 1.0027236 0.0012781762 1.0034792611950654 1.0 1.0 1.0 1.0034792611950654 -0.0007556865566986648
2460776.6373832044 0.075 0.0 1.0056862 0.0012792894 1.003478668291873 1.0 1.0 1.0 1.003478668291873 0.002207495610409671
2460776.6387720723 0.075 0.0 1.0037103 0.001278412 1.0034780753888797 1.0 1.0 1.0 1.0034780753888797 0.00023219453909884002
2460776.6401609406 0.075 0.0 1.0037026 0.0012789526 1.0034774824856874 1.0 1.0 1.0 1.0034774824856874 0.00022515804775991022
2460776.6415498084 0.075 0.0 1.0046536 0.0012787828 1.0034768895826938 1.0 1.0 1.0 1.0034768895826938 0.0011766834535000825
2460776.6429386768 0.075 0.0 1.0023565 0.0012779583 1.0034762966795014 1.0 1.0 1.0 1.0034762966795014 -0.0011197674436616012
2460776.644327545 0.075 0.0 1.0037887 0.0012785726 1.0034757037763093 1.0 1.0 1.0 1.0034757037763093 0.0003130058641935829
