Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.1458205658551266,-0.0019051847199483551,0.00197632800378178,0.14390479573600445,0.1458099804559528,0.1477863084597346
t0,2460776.91994416,-0.0002028350718319416,0.000202057883143425,2460776.9197550234,2460776.9199578585,2460776.9201599164
inc,89.39776628928638,-0.4041234306286867,0.3858535867804136,89.00907526709662,89.4131986977253,89.79905228450572
a,17.965974044611293,-0.42437618032350244,0.2890308411941689,17.602586326559592,18.026962506883095,18.315993348077264
u1,0.27355748473256036,-0.08690876641461875,0.18325544624155482,0.14009901835405086,0.22700778476866962,0.41026323101022444
u2,0.5892608762787586,-0.23728957940591283,0.258499417447948,0.3478653237023817,0.5851549031082945,0.8436543205562426
c0,1.003339174037023,-6.306950004741907e-05,6.327186949528496e-05,1.003275970222835,1.0033390397228825,1.0034023115923778
c1,-0.00042581506847508553,-0.0003014491898705984,0.0003042947655869876,-0.0007283458113995264,-0.000426896621528928,-0.00012260185594194039
ypos,9.18319650137814e-05,-0.09992951226425907,0.09994401536599763,-0.09968315281680235,0.00024635944745672947,0.10019037481345436
ywidth,0.010882768332671435,-9.715575989092388,9.97030917771159,-9.765131972746222,-0.049555983653833735,9.920753194057756
scatter_mult,0.9718676268551535,-0.030540984385882042,0.03184095532256315,0.9405761372492957,0.9711171216351777,1.0029580769577409
