Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14369437526062687,-0.0001385176074561456,0.00013585020209230803,0.14355697587077842,0.14369549347823457,0.14383134368032688
t0,60107.0058740894,-9.712246537674218e-06,9.756411600392312e-06,60107.00586440259,60107.00587411484,60107.00588387125
inc,89.65061877413395,-0.05827172306260309,0.07133454160280905,89.58531012814612,89.64358185120872,89.71491639281153
a,18.046308586066235,-0.03343556855628549,0.034081257430230494,18.012733386317827,18.046168954874112,18.080250212304342
u1,0.23451749604706887,-0.010657462075919555,0.011042172693493585,0.22368714438194348,0.23434460645786304,0.24538677915135662
u2,0.28269091465956486,-0.013354743125615909,0.013971649390713659,0.2690251296649655,0.2823798727905814,0.29635152218129507
c0,1.0087071903897438,-6.190157874730318e-06,6.256800740844781e-06,1.0087009705701873,1.008707160728062,1.0087134175288028
c1,0.00027373563049376234,-6.827854663913629e-05,6.846241642363742e-05,0.00020535784741123413,0.0002736363940503704,0.00034209881047400783
ypos,-0.0001349936417503171,-0.10034461305520345,0.10009312530397,-0.1004180353786229,-7.34223234194406e-05,0.10001970298055055
ywidth,-0.00623253915993244,-9.997358603453334,9.9477528067495,-9.987606030891543,0.009752572561790185,9.957505379311291
scatter_mult,2.9163340900546095,-0.07790168007987175,0.0828191101500737,2.8361745558177396,2.9140762358976113,2.996895346047685
