# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: polynomial, datatype: float64}
# - {name: exp. ramp, datatype: float64}
# - {name: ypos, datatype: float64}
# - {name: ywidth, datatype: float64}
# - {name: astrophysical model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr polynomial "exp. ramp" ypos ywidth "astrophysical model" model residuals
59963.79993737512 7.75 2.75 1.0077887420939393 0.0003210515547693068 1.006625076923758 1.0002822547080203 1.0000055516199469 1.0000034139287894 1.0 1.0069182291035346 0.0008705129904047482
59963.800012854525 7.75 2.75 1.0067279715703743 0.00032085028807570367 1.0066251263202994 1.000281298024033 1.0000030883326803 0.9999994402875725 1.0 1.0069108340662243 -0.00018286249584997805
59963.80008833394 7.75 2.75 1.006902005726905 0.00032088156628286583 1.0066251757168505 1.0002803445824802 1.000015369354267 1.0000000262002615 1.0 1.0069228795292937 -2.087380238879888e-05
59963.80016381334 7.75 2.75 1.0065557622849681 0.0003207987261715347 1.006625225113392 1.0002793943727388 0.9999850569047988 1.0000016703328465 1.0 1.0068931060813164 -0.0003373437963483106
59963.800239292745 7.75 2.75 1.006982484820615 0.00032090709294147217 1.0066252745099336 1.0002784473836719 1.0000554017676635 0.999999888969693 1.0 1.0069612392289955 2.124559161953421e-05
59963.80031477214 7.75 2.75 1.0068589660357206 0.0003209057966165876 1.0066253239064704 1.0002775036044536 0.9999946673986455 1.0000024729426185 1.0 1.0069017866451857 -4.282060946514399e-05
59963.800390251556 7.75 2.75 1.0070478116672357 0.00032089054205917836 1.0066253733030215 1.0002765630238417 0.9999450962679903 1.0000019643452804 1.0 1.0068504636835351 0.0001973479837005243
59963.80046573096 7.75 2.75 1.0070666821745764 0.00032091219357336645 1.006625422699563 1.0002756256314478 0.99999992173746 1.0000004631055495 1.0 1.006903261966822 0.0001634202077545055
59963.80054121036 7.75 2.75 1.0074725938935516 0.0003209694048906258 1.0066254720961045 1.0002746914162846 1.000001268495247 1.0000014584754144 1.0 1.0069047292667335 0.0005678646268181264
59963.80061668976 7.75 2.75 1.0060383040884768 0.00032078306901794565 1.006625521492646 1.0002737603675826 0.9999702741284324 0.9999996368039396 1.0 1.0068707989611365 -0.0008324948726596837
59963.80069216917 7.75 2.75 1.0067557680675314 0.00032090175355142933 1.0066255708891922 1.0002728324745207 0.9999930375807831 1.0000013997711645 1.0 1.006894609993303 -0.00013884192577151566
59963.80076764857 7.75 2.75 1.0069452745318808 0.0003209068318507026 1.0066256202857338 1.0002719077265811 0.9999915928038317 1.0000000208121402 1.0 1.0068908853250325 5.4389206848304283e-05
59963.800843127974 7.75 2.75 1.006808338823793 0.0003208450097729047 1.0066256696822753 1.0002709861130148 1.0000136567746296 0.9999991309544777 1.0 1.0069113271924466 -0.0001029883686536337
59963.800918607376 7.75 2.75 1.0069061768897656 0.0003209107017374617 1.0066257190788168 1.0002700676231977 0.9999718120349219 1.0000004318675144 1.0 1.006869628534602 3.654835516364585e-05
59963.800994086785 7.75 2.75 1.007550862430951 0.00032097391548995794 1.0066257684753632 1.000269152246454 0.9999820524008516 0.9999998183373027 1.0 1.0068784497715701 0.0006724126593808943
59963.80106956619 7.75 2.75 1.0071429710420126 0.00032093968926170735 1.0066258178719047 1.0002682399724083 0.9999897710236392 0.9999977541381683 1.0 1.006883274314027 0.00025969672798553667
59963.80114504559 7.75 2.75 1.0068762715876647 0.00032087765375712353 1.0066258672684463 1.0002673307904562 1.0000198274576875 0.999999164841074 1.0 1.0069140925906428 -3.7821002978111196e-05
59963.801220525 7.75 2.75 1.006551503486404 0.0003208784692248546 1.0066259166649925 1.00026642469003 1.0000149986547482 0.9999977731860079 1.0 1.0069069665203751 -0.0003554630339710485
59963.80129600441 7.75 2.75 1.006008596163899 0.00032078121170517825 1.0066259660615389 1.0002655216607728 0.9999872987623142 1.0000036671881383 1.0 1.0068841506894426 -0.0008755545255436648
59963.8013714838 7.75 2.75 1.0063518465737664 0.00032085531119601393 1.0066260154580757 1.0002646216924478 1.000021973243257 0.9999973023466291 1.0 1.006911798923043 -0.0005599523492765268
59963.8014469632 7.75 2.75 1.0067491938608069 0.00032096088310617094 1.0066260648546173 1.0002637247744206 0.9999508748211565 0.9999993634336961 1.0 1.0068414324379245 -9.22385771175982e-05
59963.80152244262 7.75 2.75 1.006937037417635 0.00032091978299448167 1.0066261142511683 1.0002628308962664 1.0000123710579305 0.9999995096122608 1.0 1.0069026492250412 3.438819259371506e-05
59963.80159792202 7.75 2.75 1.0070174970328478 0.00032090676928965534 1.0066261636477098 1.0002619400480264 0.9999886788753618 1.0000004521426404 1.0 1.0068788954806687 0.0001386015521791517
59963.80167340142 7.75 2.75 1.0068881286581657 0.0003208530144540424 1.0066262130442514 1.0002610522192585 0.9999696944739106 1.0000016273588272 1.0 1.0068601192704583 2.8009387707417233e-05
59963.80174888082 7.75 2.75 1.0068052979652538 0.00032092078776065574 1.006626262440788 1.0002601673998137 1.0000351214025862 1.0000000057119194 1.0 1.0069235228537454 -0.00011822488849166923
59963.801824360235 7.75 2.75 1.006752444266554 0.0003208378062389551 1.006626311837339 1.0002592855791521 0.9999792022414788 0.9999989013030015 1.0 1.0068652682832837 -0.00011282401672962905
