Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14328505065599803,-0.0002219567716246762,0.00024490387867398544,0.1430522297252761,0.14327418649690077,0.14351909037557475
t0,60129.8919121995,-2.642937033670023e-05,2.6637637347448617e-05,60129.89188571219,60129.89191214156,60129.8919387792
inc,89.71569623694398,-0.15334219481266587,0.17807830851035078,89.55706670061606,89.71040889542873,89.88848720393908
a,18.069756503986984,-0.08450545592004488,0.0555502027343131,17.997705908483645,18.08221136440369,18.137761567138003
u1,0.07054807247087269,-0.014789263285332574,0.01592464707902201,0.05519751519797615,0.06998677848330873,0.08591142556233074
u2,0.1436894281005048,-0.05135332076443459,0.06368941565027755,0.08569360708981073,0.13704692785424533,0.20073634350452288
c0,1.0070242081384622,-1.4879405189516248e-05,1.4769901033329091e-05,1.0070093751425448,1.0070242545477344,1.0070390244487677
c1,-0.0007074878690258619,-0.000137922125429038,0.0001373628401585531,-0.0008453764935678503,-0.0007074543681388123,-0.0005700915279802592
ypos,0.0025911170963552345,-0.0021575053482598286,0.002145087244265226,0.0004355276859961024,0.002593033034255931,0.004738120278521157
ywidth,-0.00304902282359555,-0.00571646721555871,0.005665317899682811,-0.008746456751834641,-0.003029989536275931,0.0026353283634068803
scatter_mult,2.852215711124368,-0.0793977091431799,0.08345575444255804,2.7707992634190557,2.8501969725622356,2.9336527270047936
